station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Battersea Park,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Archway,0,0,1,46,20,0,0,0,0,81,0,0,0,22,8,336,12,0,0,11,0,0,0,0,0,33,8,11,21,0,0,48,36,0,0,0,2,2,0,22,0,1,0,0,0,0,4,0,0,0,0,0,0,163,8,51,2,3,0,0,0,0,0,21,48,103,0,0,0,0,1,0,6,0,0,2,5,0,0,33,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,14,2,62,1,0,2,0,10,20,0,42,0,0,53,0,0,0,185,0,0,47,187,1,0,0,0,0,12,0,1,0,12,14,0,154,0,0,0,1,68,1,0,2,0,0,0,0,0,48,51,0,3,0,0,0,0,2,0,1,0,0,1,3,15,0,79,15,0,7,10,0,72,13,0,0,0,0,1,0,0,0,6,0,0,0,0,24,0,0,0,248,0,0,0,0,0,0,0,121,0,21,8,5,7,0,2,132,0,0,0,0,0,0,40,191,0,0,0,2,0,0,9,21,0,9,7,128,0,250,3,64,0,1,0,0,0,6,0,12,0,0,0,1,3,0,0,0,19,0,180,0,15,122,45,0,6,0,0,0,15,27,0,0,0,0,0,0,0,8,0,0,0,8,3,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,12,0,3,0,0,20,1,0,0,18,1,0,2,0,0,56,0,0,0,0,1,0,0,1,0,11,0,64,4,33,1,0,0,0,3,6,0,0,10,0,0,0,0,0,0,0,12,0,0,1,9,244,4,32,0,19,4,0,3,0,0,0,0,0,0,3,63,185,1,0,0,1,0,0,239,2,209,0,0,0,0,6,0,4,0,5,0,0,0,0,2,0,0,4,0,35,32,0,8,0,0,1,2,1,2,0,0,0,89,0,5642
Arnos Grove,0,0,1,33,8,0,1,0,0,17,1,0,6,32,2,87,22,0,0,13,0,0,0,0,0,10,1,2,0,14,0,20,8,3,22,0,0,0,0,13,0,1,0,0,0,0,1,0,0,28,0,0,0,9,1,37,2,1,0,0,0,0,0,4,25,2,0,0,0,0,2,0,4,0,0,4,1,0,26,2,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,2,21,3,0,3,0,3,0,0,19,0,10,0,0,2,0,0,0,33,8,0,70,0,2,0,91,0,0,7,0,0,0,19,1,0,3,0,0,0,17,58,1,0,10,0,0,0,0,0,38,3,0,1,1,0,0,0,3,0,2,0,1,3,6,0,0,0,8,0,166,0,0,146,4,36,0,0,0,2,1,1,0,10,0,0,0,0,3,0,0,0,3,0,0,1,0,0,2,0,149,0,26,3,4,1,0,1,44,0,0,0,0,0,0,47,35,0,0,0,2,66,0,0,15,0,8,9,0,0,28,2,2,0,0,0,0,0,4,0,4,0,0,1,0,1,0,0,0,4,75,13,3,1,109,31,4,7,0,0,0,47,16,1,1,0,0,0,0,0,4,1,0,0,7,1,1,0,0,2,4,0,0,0,0,0,4,0,0,0,0,54,0,15,0,0,4,0,0,0,8,0,0,3,0,0,35,0,0,0,0,1,0,0,2,71,18,0,13,4,41,0,0,0,0,0,5,0,0,27,0,0,0,0,0,3,0,0,0,0,0,4,12,18,0,0,6,0,0,1,63,0,0,0,0,1,4,55,148,16,0,0,0,0,0,53,3,30,0,0,0,1,8,0,9,0,0,0,5,0,0,2,0,0,3,0,19,9,0,2,0,1,7,2,139,1,0,0,0,0,0,3046
Arsenal,0,0,4,32,4,0,1,0,0,2,0,5,0,35,2,73,22,1,0,13,0,0,0,0,0,9,2,2,0,7,0,13,6,2,10,0,0,1,0,4,0,1,0,0,0,0,0,0,0,14,0,0,0,13,1,12,0,0,0,0,0,0,0,3,20,1,0,0,0,0,3,0,0,0,0,1,0,0,1,3,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,15,1,1,1,0,3,0,0,15,0,6,0,0,2,0,0,0,13,9,0,81,4,5,0,29,0,0,15,0,0,0,5,6,0,1,0,0,0,28,47,0,0,7,0,0,0,0,0,59,10,0,0,0,0,0,0,4,0,2,0,0,5,5,5,0,0,9,0,14,0,0,204,6,7,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,193,0,21,6,6,0,0,3,61,0,0,0,0,0,0,45,34,0,0,0,0,3,0,0,7,0,3,4,0,0,31,1,1,0,0,0,0,0,5,0,3,0,0,2,0,2,0,0,0,6,4,10,2,1,36,36,3,3,0,0,0,84,9,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,92,0,17,0,0,9,3,0,0,2,0,0,2,0,0,57,0,0,0,0,0,0,0,0,5,9,0,2,0,42,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,1,13,9,0,0,3,0,0,1,9,0,0,0,0,0,4,11,54,11,0,0,0,0,0,18,0,38,0,0,0,0,9,0,4,0,0,0,2,0,0,1,0,0,3,0,9,13,0,1,0,0,2,1,13,5,0,0,0,0,0,2158
Baker Street,0,0,1,220,49,0,0,0,0,26,2,2,3,0,3,88,293,11,1,5,0,0,0,0,2,1,21,4,29,4,0,39,2,1,1,0,9,0,0,29,0,5,0,0,0,0,0,0,0,11,0,0,0,6,61,687,97,23,0,7,0,0,2,0,29,73,4,0,0,0,0,1,5,0,0,1,8,0,2,1,1,10,0,0,6,0,0,0,0,0,1,0,0,1,0,0,0,6,2,0,8,1,2,6,0,3,2,0,11,0,39,0,0,33,0,0,0,1,152,0,708,1,59,0,12,0,0,10,0,0,0,3,0,9,0,0,0,0,31,135,1,0,7,0,0,0,0,0,134,3,0,4,7,0,0,2,28,0,0,0,0,2,3,1,0,0,12,0,21,2,1,64,6,7,0,0,0,1,2,0,0,3,1,0,0,0,0,1,0,0,2,0,0,0,9,0,9,0,289,9,9,40,11,0,0,18,4,0,0,0,1,0,0,580,353,0,0,0,8,7,0,31,4,0,3,6,0,6,578,2,0,0,13,0,0,2,3,0,35,3,0,1,0,31,7,4,0,7,0,65,1,2,92,99,0,6,0,0,0,89,13,5,1,0,0,1,0,0,8,18,0,3,3,0,9,0,2,2,2,3,0,0,0,0,16,0,1,0,1,7,0,17,0,0,3,13,0,0,17,0,0,0,0,0,40,0,0,0,0,0,0,0,2,1,169,0,29,42,51,0,0,13,0,11,4,0,0,49,0,0,0,0,0,33,0,17,0,0,1,10,27,4,0,0,44,0,0,0,6,0,0,0,0,4,47,39,129,12,0,0,0,0,0,2,7,163,5,0,0,3,102,3,9,0,0,14,36,0,0,0,0,0,23,0,180,1,0,29,9,11,3,0,5,35,0,1,0,0,0,7444
Balham,0,0,4,28,53,0,0,0,0,135,9,0,0,55,0,1110,41,4,0,3,0,0,0,0,0,8,12,20,135,3,0,45,172,0,0,0,1,1,0,33,0,5,0,0,0,0,1,0,0,7,0,0,0,50,6,347,12,6,0,0,0,0,0,11,128,95,0,0,0,0,1,0,110,0,0,96,59,0,0,11,85,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,2,1,8,0,0,0,0,4,32,0,154,0,0,169,0,0,1,110,0,0,133,13,6,0,17,0,0,1,0,1,0,13,6,0,107,0,0,0,0,205,1,0,0,0,0,0,0,1,32,9,0,2,0,0,0,0,2,0,0,0,0,2,4,12,0,1,19,0,56,4,0,67,3,4,0,0,0,1,0,0,0,2,0,0,0,0,37,0,0,0,22,0,0,0,2,0,3,0,200,0,12,1,9,2,0,0,199,0,2,0,2,0,0,73,734,0,0,0,1,0,0,23,17,0,30,4,1,0,788,100,31,0,1,0,0,0,7,0,16,0,0,0,0,1,1,0,0,9,0,446,0,95,394,82,4,2,0,0,0,18,93,0,1,0,0,0,0,0,0,3,0,0,2,5,0,0,0,19,0,3,0,0,0,0,0,0,0,0,0,17,0,12,0,0,2,0,0,0,19,0,0,2,0,0,35,0,0,0,0,99,1,0,0,1,6,0,25,16,34,0,0,0,0,3,46,0,0,88,0,0,0,0,0,6,0,59,0,0,63,422,225,11,1,0,57,2,0,1,1,0,0,0,0,2,3,169,115,7,0,0,1,0,0,166,6,204,0,0,0,0,7,2,0,0,0,2,11,0,0,2,0,0,1,0,25,7,0,12,1,0,0,0,7,0,0,0,0,4,0,9619
Bank and Monument,0,0,6,31,250,25,0,0,0,518,36,3,3,40,61,0,82,17,4,26,0,3,18,6,5,54,8,161,473,6,159,496,89,1,8,0,21,11,0,108,0,16,0,0,0,2,17,0,0,27,0,0,0,199,9,2339,62,70,0,0,0,0,0,50,1122,19,0,0,2,0,11,1,64,0,0,47,40,0,0,53,31,24,218,0,0,0,81,360,28,7,7,0,0,11,0,74,16,7,117,1,67,30,22,23,314,14,0,20,31,0,172,3,30,314,0,0,8,508,31,0,144,24,5,0,43,0,0,40,29,9,0,74,50,0,38,0,0,0,42,97,17,49,46,0,0,0,0,7,148,31,0,48,0,0,0,1,3,0,3,0,3,6,16,57,919,9,93,0,2,16,0,1007,56,30,0,0,2,2,2,2,0,17,0,0,0,87,45,0,0,0,36,0,0,4,7,0,3,67,675,1,53,9,6,85,105,2,44,131,55,0,43,0,725,1138,362,393,0,5,5,12,0,129,257,0,44,49,3,0,732,29,33,51,1,0,0,13,125,0,12,1,0,0,18,1,0,0,0,148,1,729,0,120,852,147,0,23,0,0,13,96,20,0,17,135,83,1,62,3,25,15,0,1,62,19,1,0,3,10,21,0,0,0,0,29,1,34,0,5,0,55,0,29,430,0,197,0,0,0,166,14,0,1,0,0,203,0,1111,3,0,23,10,0,7,8,22,0,330,8,402,3,0,1,0,61,57,0,1,272,0,0,0,2,0,7,0,279,0,0,36,75,903,5,4,2,86,7,0,18,12,1,4,4,0,19,5,88,171,9,0,0,8,0,0,65,6,1561,0,0,0,2,7,5,43,0,1,16,5,0,3,24,1,96,8,470,183,216,0,106,7,3,38,2,31,1,0,10,0,9,509,29494
Barbican,0,0,2,55,13,0,0,0,0,0,2,0,1,66,0,26,0,6,0,1,0,0,0,0,2,1,1,4,1,1,0,4,3,2,2,0,6,1,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,4,0,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,1,3,0,2,0,0,20,0,2,1,0,2,0,0,1,1,107,0,64,0,14,0,5,0,0,1,0,0,0,1,2,2,0,0,0,0,78,18,0,0,2,0,0,0,0,0,25,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,13,0,2,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,69,0,2,6,0,0,0,3,5,0,1,0,1,0,0,90,8,0,0,0,3,4,0,0,0,0,3,10,0,1,14,1,0,0,1,0,0,0,0,0,2,0,0,0,0,5,0,0,0,2,0,1,0,1,13,63,1,1,0,0,0,9,4,0,6,0,0,1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,5,0,0,0,4,0,0,4,1,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,13,3,0,0,0,0,0,18,0,0,0,23,0,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,16,0,0,0,0,0,0,1,0,5,4,6,33,2,0,0,0,0,0,0,0,5,0,0,0,0,9,0,1,0,0,4,2,0,0,0,0,0,5,0,7,0,0,66,1,0,1,0,3,12,0,0,0,1,0,1239
Barking,0,0,4,0,70,0,1,0,0,32,0,1,3,41,5,75,112,0,0,6,0,0,0,0,106,1,11,89,104,331,0,40,3,2,1,0,85,1,0,15,0,117,1,2,0,2,1,0,0,4,1,0,11,10,16,36,31,49,0,0,0,0,0,3,91,2,0,0,2,2,4,0,5,0,0,3,2,2,0,8,2,3,0,85,0,0,0,0,0,174,250,0,0,3,0,0,0,1,27,1,26,5,2,206,0,8,0,1,29,1,21,52,0,89,0,2,2,14,110,0,216,4,1,4,0,0,0,13,0,1,0,25,3,1,8,0,50,0,68,11,3,0,14,0,0,0,0,1,37,1,14,3,1,0,155,1,2,0,1,0,0,1,3,13,0,2,15,3,0,0,0,97,6,9,0,0,76,2,3,1,0,6,0,0,0,0,3,0,2,0,1,0,0,1,1,0,2,0,146,0,26,7,2,9,0,2,13,0,9,183,6,80,0,197,24,0,0,4,2,0,0,50,42,0,9,87,1,0,86,3,4,0,0,0,0,0,14,0,21,0,0,0,1,3,0,0,0,18,1,43,1,9,110,59,1,7,0,0,2,23,6,0,123,0,0,0,0,0,10,1,0,0,18,2,0,0,1,2,26,0,1,0,0,0,2,0,0,0,0,13,0,0,0,0,25,2,0,3,59,2,0,1,0,0,61,0,0,0,207,0,7,1,2,2,13,0,103,3,61,2,0,1,0,59,2,0,1,89,0,0,0,0,0,2,0,61,0,0,3,7,96,0,3,0,13,0,0,3,1,14,70,116,155,218,3,29,54,0,614,0,1,82,0,5,2,48,0,0,0,1,8,1,29,0,0,75,6,0,0,7,0,0,8,0,71,21,0,526,0,5,26,1,3,5,2,4,39,3,0,8200
Barkingside,0,0,0,5,8,0,0,0,0,8,2,0,0,8,1,76,9,1,0,1,0,0,0,0,0,0,4,26,5,0,0,19,5,0,0,0,2,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,3,8,48,12,0,0,0,0,0,0,0,49,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,0,3,1,0,2,0,0,0,0,2,0,7,0,0,3,0,0,1,5,6,0,12,1,0,0,2,0,0,1,0,7,0,4,2,0,1,0,0,0,4,8,0,0,0,0,0,0,0,3,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,41,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,0,6,0,0,8,0,0,2,0,12,0,21,0,0,111,28,0,0,1,0,0,0,0,12,0,2,19,0,0,1,0,1,0,1,0,0,15,1,0,8,0,0,0,0,1,0,0,0,2,0,8,0,1,29,6,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,2,1,0,0,0,0,11,0,0,0,0,0,4,0,0,0,5,0,13,2,54,0,0,0,0,4,0,0,0,211,0,0,0,0,0,1,0,1,0,0,0,1,27,0,0,0,11,0,0,0,0,0,0,0,0,3,1,12,24,0,0,0,9,0,0,3,1,30,0,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,10,7,0,45,0,0,0,0,1,0,0,2,0,0,0,1301
Barons Court,0,0,28,1,31,0,10,0,0,22,3,0,2,18,2,106,10,3,0,0,0,2,0,0,0,4,9,5,83,0,0,47,2,20,0,0,1,0,0,8,0,3,0,0,0,0,0,0,0,6,0,0,0,14,8,127,3,45,0,0,0,0,0,2,36,2,0,0,0,0,25,0,1,0,0,0,1,0,2,2,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,16,33,0,1,0,0,5,0,0,9,0,11,0,0,34,0,0,0,23,2,0,17,4,2,0,10,0,0,9,0,0,0,77,1,5,24,0,0,0,1,247,0,0,62,0,0,0,0,0,143,2,0,0,0,0,0,0,2,0,26,0,6,14,28,4,0,1,5,0,14,1,0,189,0,8,0,0,0,9,8,4,0,56,0,0,0,0,1,0,0,0,5,0,0,10,0,0,0,0,135,1,69,9,5,0,0,3,82,0,0,0,1,0,0,100,64,0,0,0,0,3,0,78,1,0,5,3,0,0,14,0,9,0,0,0,0,0,7,3,4,0,0,28,0,6,0,0,0,6,1,57,11,2,71,26,50,10,0,0,1,173,12,0,0,0,0,0,0,0,1,0,0,0,0,36,0,0,0,21,111,0,0,0,0,0,3,0,0,0,0,66,0,7,0,0,0,2,0,0,33,1,0,11,0,6,176,0,0,0,0,0,0,0,1,1,35,0,48,6,36,10,0,1,0,2,4,0,0,17,0,0,7,5,0,3,0,42,0,0,0,1,23,5,0,0,37,3,0,24,1,0,0,0,0,0,28,27,43,2,0,0,0,0,0,40,0,23,0,0,0,0,1,0,5,0,0,0,3,0,0,1,0,0,2,0,32,0,0,19,0,0,26,0,3,16,0,0,0,2,0,4052
Battersea Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bayswater,0,0,4,6,0,0,0,0,0,1,0,0,1,47,0,27,5,1,0,6,0,0,0,0,0,0,0,0,39,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,5,0,11,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,24,0,0,49,0,1,0,0,41,0,0,0,0,0,0,0,0,1,0,1,0,0,43,0,0,0,27,0,0,0,0,0,0,0,6,0,0,14,0,0,0,0,0,19,0,0,0,0,0,0,1,0,0,1,0,4,6,19,0,0,0,45,0,0,0,0,2,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,18,3,0,0,0,0,2,0,0,0,0,0,0,8,9,0,0,0,4,0,0,18,6,0,13,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,20,0,0,1,0,8,87,0,16,0,0,0,10,4,0,0,0,0,0,0,0,29,4,0,0,1,8,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,57,0,0,1,0,0,92,0,0,0,0,0,0,0,6,0,2,0,138,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,2,4,0,0,0,87,0,0,3,0,0,0,0,0,0,1,13,47,0,0,0,0,0,0,0,1,6,0,0,0,1,3,0,29,0,0,0,0,0,0,2,0,0,1,0,112,0,0,1,0,0,90,2,0,0,0,0,0,0,0,1571
Beckton,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,10,6,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,19,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,27,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1179
